playlist_id	owner_id	x_owner_group	streams	stream30s	dau	wau	mau	mau_previous_month	mau_both_months	users	skippers	owner_country	n_tracks	n_local_tracks	n_artists	n_albums	monthly_stream30s	monthly_owner_stream30s	genre_1	genre_2	genre_3	mood_1	mood_2	mood_3	tokens	x_estimated_revenue_usd	x_ratio_streams_above_30s_threshold	x_retention_rate_m	x_ratio_skippers_d	x_projected_engaging_time_in_min	x_projected_engaging_time_in_hour	x_projected_engaging_time_in_day	x_mininum_engaing_time_per_user	x_playlist_type_by_artist	x_playlist_type_by_album	x_playlist_type_by_artist_by_album
4Crj2aOr9ZqCZsmNZYRcfs	4fa9b02e4259f4645f6c9f76524f7288	non-spotify	47614	25886	2101	9587	20435	10051	2431	34678	1214	US	522	4	251	306	522690	119	country & folk	rock	pop	upbeat	rowdy	yearning	pure, country	181.202	0.5437	0.2419	0.0350	1827.00	30.45	1.27	0.37	various_artist	various_album	various_artist_various_album
0lbtgFu3JNKX77J5YOpW7n	spotify	spotify	40617	25657	3126	19680	53141	74106	10021	162642	2754	US	53	0	50	53	796754	1	alternative	metal	rock	urgent	defiant	aggressive	rock, world	179.599	0.6317	0.1352	0.0169	185.50	3.09	0.13	0.08	various_artist	various_album	various_artist_various_album
7b9XqnXw5J47tmn0Y0IZeW	spotify	spotify	35613	24723	2175	12485	30218	27090	3628	71136	1406	US	86	0	71	78	536944	0	pop	r&b	indie rock	sensual	excited	empowering	chill, hits	173.061	0.6942	0.1339	0.0198	301.00	5.02	0.21	0.17	various_artist	various_album	various_artist_various_album
3LyliLsskEqgktFrgGBCkf	spotify	spotify	34778	24563	3257	14763	55473	51490	5452	151268	2899	US	32	0	1	1	536488	0	indie rock	alternative	pop	brooding	easygoing	melancholy	date, night	171.941	0.7063	0.1059	0.0192	112.00	1.87	0.08	0.08	single_artist	single_album	single_artist_single_album
2nLBLpHHD8nvUcpr6vmRsR	spotify	spotify	42609	24362	3490	18841	70610	58129	10254	167758	2937	US	37	0	37	36	804912	0	rap	r&b	other	cool	defiant	energizing	chill, nights	170.534	0.5718	0.1764	0.0175	129.50	2.16	0.09	0.07	various_artist	various_album	various_artist_various_album
42kO1lZrGVdOjeuSS0219Y	dc3bdd3ea9a21cddc050e8b1c7240c63	non-spotify	35353	24140	883	1913	3133	1218	707	4143	189	US	400	27	288	298	433330	755	dance & house	electronica	alternative	excited	defiant	urgent	cleansed, ultimate, playlist	168.980	0.6828	0.5805	0.0456	1400.00	23.33	0.97	2.91	various_artist	various_album	various_artist_various_album
5tnBjatmVR3VtfVMOpS87h	spotify	spotify	29288	23786	2544	11161	34602	26481	2956	90214	1981	US	66	0	64	66	428293	2	indie rock	rock	alternative	melancholy	yearning	sentimental	calm	166.502	0.8121	0.1116	0.0220	231.00	3.85	0.16	0.13	various_artist	various_album	various_artist_various_album
5KmBulox9POMt9hOt3VV1x	e60d19313a8df36c7e6cf59e259e0d66	non-spotify	48870	23531	2097	9874	25126	14357	2212	44642	1310	US	232	0	185	201	492546	0	rock	r&b	pop	energizing	upbeat	cool	smash, grooviest, mix, wind, michael, billy, led, guardians, electric, light	164.717	0.4815	0.1541	0.0293	812.00	13.53	0.56	0.26	various_artist	various_album	various_artist_various_album
1xY6msLHX1W34EzB0UkkbU	0dd8a0b6d017c880d3e33a8ac4d90793	non-spotify	39704	23501	3489	17243	53098	91400	28052	125359	1319	US	21	0	13	13	924185	0	soundtrack	rock	r&b	serious	peaceful	romantic	guardians, awesome, mix	164.507	0.5919	0.3069	0.0105	73.50	1.23	0.05	0.09	various_artist	various_album	various_artist_various_album
63UdjnaWDFp0VNrwQ28qUw	spotify	spotify	32126	23056	2409	9783	32611	24051	3415	77763	1766	US	214	0	101	103	490157	0	dance & house	electronica	pop	excited	sensual	energizing	dinner, party	161.392	0.7177	0.1420	0.0227	749.00	12.48	0.52	0.15	various_artist	various_album	various_artist_various_album
0PRs1Xaui4zCv9LdIIt20X	spotify	spotify	27115	22888	2125	15901	39563	28251	4985	82935	1143	US	24	0	23	24	696498	2	country & folk	new age	rock	peaceful	melancholy	yearning	acoustic, concentration	160.216	0.8441	0.1765	0.0138	84.00	1.40	0.06	0.14	various_artist	various_album	various_artist_various_album
5T3jTqb2jeZwliJBvs1pLn	spotify	spotify	38833	21370	3164	33286	84320	51974	7703	185591	2834	US	109	0	101	106	949268	4	indie rock	electronica	dance & house	energizing	excited	aggressive	other	149.590	0.5503	0.1482	0.0153	381.50	6.36	0.26	0.06	various_artist	various_album	various_artist_various_album
5rMh5sksZqzbXdbnEYw1g6	a2e9efe4e9ec6085a112881a50650d51	non-spotify	45348	21325	2059	10899	36780	129163	12244	191087	1414	US	300	0	222	254	755105	190	rock	alternative	indie rock	empowering	yearning	urgent	greatest, songs, ever	149.275	0.4703	0.0948	0.0074	1050.00	17.50	0.73	0.06	various_artist	various_album	various_artist_various_album
3vxotOnOGDlZXyzJPLFnm2	e80a283aa98376aa3b632bc8e21c2a7e	non-spotify	30231	21229	1552	7934	22064	21624	6659	48095	837	US	576	6	147	170	643126	0	indie rock	alternative	electronica	yearning	excited	urgent	hipster, international	148.603	0.7022	0.3079	0.0174	2016.00	33.60	1.40	0.22	various_artist	various_album	various_artist_various_album
